,CUID,Species,Year,LGL counts,Total run,Region
991,401,Chinook,1995,973,1948,Nass
992,402,Chinook,1995,7844,20292,Nass
993,405,Chum,1995,NA,NA,Nass
994,406,Chum,1995,49051,98234,Nass
995,404,Chum,1995,13401,26838,Nass
996,408,Coho,1995,10930,34855,Nass
997,410,Coho,1995,13949,43362,Nass
998,409,Coho,1995,22219,71008,Nass
999,414,Pink (Odd),1995,639807,1601791,Nass
1000,219,Pink (Even),1995,NA,NA,Nass
1001,412,Pink (Even),1995,NA,NA,Nass
1002,415,Pink (Odd),1995,NA,NA,Nass
1003,420,Lake Sockeye,1995,NA,NA,Nass
1004,418,Lake Sockeye,1995,NA,NA,Nass
1005,421,Lake Sockeye,1995,1035,6830,Nass
1006,422,Lake Sockeye,1995,1125,7532,Nass
1007,423,Lake Sockeye,1995,NA,NA,Nass
1008,419,Lake Sockeye,1995,NA,NA,Nass
1009,424,Lake Sockeye,1995,205853,849654,Nass
1010,425,Lake Sockeye,1995,NA,NA,Nass
1011,426,River Sockeye,1995,4862,12613,Nass
1012,427,River Sockeye,1995,NA,NA,Nass
1013,401,Chinook,1996,1108,1910,Nass
1014,402,Chinook,1996,21842,41544,Nass
1015,405,Chum,1996,NA,NA,Nass
1016,406,Chum,1996,25500,49019,Nass
1017,404,Chum,1996,9681,18610,Nass
1018,408,Coho,1996,12553,32752,Nass
1019,410,Coho,1996,23205,59274,Nass
1020,409,Coho,1996,43642,114124,Nass
1021,414,Pink (Odd),1996,NA,NA,Nass
1022,219,Pink (Even),1996,2797784,5388525,Nass
1023,412,Pink (Even),1996,NA,NA,Nass
1024,415,Pink (Odd),1996,NA,NA,Nass
1025,420,Lake Sockeye,1996,NA,NA,Nass
1026,418,Lake Sockeye,1996,NA,NA,Nass
1027,421,Lake Sockeye,1996,1543,10210,Nass
1028,422,Lake Sockeye,1996,1000,5374,Nass
1029,423,Lake Sockeye,1996,NA,NA,Nass
1030,419,Lake Sockeye,1996,NA,NA,Nass
1031,424,Lake Sockeye,1996,182082,827197,Nass
1032,425,Lake Sockeye,1996,NA,NA,Nass
1033,426,River Sockeye,1996,3700,10987,Nass
1034,427,River Sockeye,1996,NA,NA,Nass
1035,401,Chinook,1997,1635,2772,Nass
1036,402,Chinook,1997,18702,35014,Nass
